kegg,smiles,mass,formula,pubchem,chebi
C00127,C(CC(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,612.152,C20H32N6O12S2,11215652,CHEBI:17858
C00128,CC(=O)N[C@@H]1[C@H](C[C@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=NC3=O)N)O)O)O,614.1473,C20H31N4O16P,448209,CHEBI:16556
C00129,CC(=C)CCOP(=O)(O)OP(=O)(O)O,246.0058,C5H12O7P2,1195,CHEBI:16584
C00130,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,348.0471,C10H13N4O8P,8582,CHEBI:17202
C00134,C(CCN)CN,88.1,C4H12N2,1045,CHEBI:17148
C00135,C1=C(NC=N1)C[C@@H](C(=O)O)N,155.0695,C6H9N3O2,6274,CHEBI:15971
C00136,CCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,837.1571,C25H42N7O17P3S,122283,CHEBI:15517
C00137,C1(C(C(C(C(C1O)O)O)O)O)O,180.0634,C6H12O6,NA,CHEBI:17268
C00140,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O,221.0899,C8H15NO6,439174,CHEBI:28401
C00141,CC(C)C(=O)C(=O)O,116.0473,C5H8O3,49,CHEBI:16530
C00143,C1[C@@H]2CN(CN2C3=C(N1)NC(=NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O,457.171,C20H23N7O6,439175,NA
C00144,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=NC2=O)N,363.058,C10H14N5O8P,6804,CHEBI:17345
C00147,C1=NC2=C(N1)C(=NC=N2)N,135.0545,C5H5N5,190,CHEBI:16708
C00148,C1C[C@H](NC1)C(=O)O,115.0633,C5H9NO2,145742,CHEBI:17203
C00152,C([C@@H](C(=O)O)N)C(=O)N,132.0535,C4H8N2O3,6267,CHEBI:17196
C00153,C1=CC(=CN=C1)C(=O)N,122.048,C6H6N2O,936,CHEBI:17154
C00154,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,1005.3449,C37H66N7O17P3S,644109,CHEBI:15525
C00156,C1=CC(=CC=C1C(=O)O)O,138.0317,C7H6O3,135,CHEBI:30763
C00158,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,192.027,C6H8O7,19782904,CHEBI:30769
