kegg,smiles,mass,formula,pubchem,chebi
C01770,C1CC(=O)OC1,86.0368,C4H6O2,7302,NA
C01772,C1=CC=C(C(=C1)/C=C/C(=O)O)O,164.0473,C9H8O3,637540,CHEBI:18125
C01780,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O,360.1937,C21H28O5,5839,CHEBI:27584
C01802,C[C@H](CCC=C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,384.3392,C27H44O,439577,CHEBI:17737
C01817,C(CSSCC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N,268.0551,C8H16N2O4S2,10010,CHEBI:17485
C01829,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N,776.6867,C15H11I4NO4,25201348,CHEBI:18332
C01832,CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,949.2823,C33H58N7O17P3S,165436,CHEBI:15521
C01835,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O,504.169,C18H32O16,439586,NA
C01850,C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,360.0845,C18H16O8,5281792,CHEBI:50371
C01879,C1CC(=O)N[C@@H]1C(=O)O,129.0426,C5H7NO3,7405,CHEBI:18183
C01904,C([C@H](C([C@@H](CO)O)O)O)O,152.0685,C5H12O5,94154,CHEBI:18333
C01909,CC1C(NC(=O)N1)CCCCCC(=O)O,214.1317,C10H18N2O3,643,CHEBI:16691
C01921,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,465.309,C26H43NO6,10140,CHEBI:17687
C01933,CCCC[C@@H](C(=O)O)N,131.0946,C6H13NO2,21236,CHEBI:18347
C01944,CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,893.2197,C29H50N7O17P3S,445344,CHEBI:15533
C01953,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,316.2402,C21H32O2,8955,CHEBI:16581
C01965,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,290.1379,C14H18N4O3,5578,NA
C01996,CC(=O)OCC[N+](C)(C)C,146.1181,C7H16NO2,187,CHEBI:15355
C02037,C(C(=O)NCC(=O)O)N,132.0535,C4H8N2O3,11163,CHEBI:17201
C02043,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O,205.0739,C11H11NO3,92904,CHEBI:24813
C02052,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](OC([C@@H]([C@H]4O)O)O)CO)CO)CO)O)O)O)O,666.2219,C24H42O21,439639,NA
C02057,C1=CC=C(C=C1)CC(C(=O)O)N,165.079,C9H11NO2,57397115,CHEBI:28044
C02059,CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCCC(C)CCCC(C)CCCC(C)C,450.3498,C31H46O2,5280483,NA
C02067,C1=C(C(=O)NC(=O)N1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,244.0695,C9H12N2O6,15047,CHEBI:17802
C02094,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(CCCC2(C)C)C)\C)\C)/C)/C,536.4382,C40H56,5280489,CHEBI:17579
C02140,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,346.2144,C21H30O4,5753,CHEBI:16827
C02155,CC(C)C[C@@H](C(=O)O)NC(=O)CN,188.1161,C8H16N2O3,1548899,CHEBI:73514
C02170,CC(C(=O)O)C(=O)O,118.0266,C4H6O4,487,CHEBI:15849
C02183,C1=C(C=C(C=C1O)O)O,126.0317,C6H6O3,359,CHEBI:16204
C02214,C(/C=C/C(=O)O)C(=O)O,130.0266,C5H6O4,5280498,CHEBI:15670
C02226,C/C(=C/C(=O)O)/C(=O)O,130.0266,C5H6O4,643798,CHEBI:17626
C02291,C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N,222.0674,C7H14N2O4S,25243997,CHEBI:17482
C02294,CN=C(N)N,73.064,C2H7N3,10111,CHEBI:16628
C02305,CN(CC(=O)O)/C(=N/P(=O)(O)O)/N,211.0358,C4H10N3O5P,5359254,CHEBI:17287
C02325,COC1=CC(=CC(=C1O)OC)/C=C/CO,210.0892,C11H14O4,5280507,CHEBI:64557
C02341,C(/C(=C\C(=O)O)/C(=O)O)C(=O)O,174.0164,C6H6O6,444212,CHEBI:32806
C02343,C[C@H]([C@H](C1=CC=CC=C1)O)N,151.0997,C9H13NO,26934,CHEBI:36
C02353,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@H]4[C@@H]([C@H](O3)CO)OP(=O)(O4)O,329.0525,C10H12N5O6P,101812,CHEBI:27844
C02356,CC[C@@H](C(=O)O)N,103.0633,C4H9NO2,6971252,CHEBI:35619
C02372,C1=CC(=CC=C1N)O,109.0528,C6H7NO,13283155,CHEBI:17602
C02376,CC1=C(NC(=O)N=C1)N,125.0589,C5H7N3O,65040,CHEBI:27551
C02378,C(CCC(=O)O)CCN,131.0946,C6H13NO2,517030,CHEBI:16586
C02385,C(CC(C(=O)O)N)CN=C(N)N,174.1117,C6H14N4O2,232,CHEBI:29016
C02465,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,650.79,C15H12I3NO4,5920,CHEBI:18258
C02470,C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O,205.0375,C10H7NO4,5699,CHEBI:10072
C02477,CC1=C(C(=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)O,430.3811,C29H50O2,14985,CHEBI:18145
C02502,C1=CC(=O)NC=C1,95.0371,C5H5NO,8871,CHEBI:16540
C02504,CC(C)[C@@](CC(=O)O)(C(=O)O)O,176.0685,C7H12O5,5280523,CHEBI:35128
C02512,C(C#N)[C@@H](C(=O)O)N,114.0429,C4H6N2O2,439742,CHEBI:16934
C02515,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O,306.9705,C9H10INO3,439744,CHEBI:27847
C02519,COC1=CC=C(C=C1)C(=O)O,152.0473,C8H8O3,7478,NA
C02528,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,392.2927,C24H40O4,10133,CHEBI:16755
C02538,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,350.1188,C18H22O5S,3001028,CHEBI:17474
C02567,CC(=O)NCCCNCCCCNCCCN,244.2263,C12H28N4O,916,CHEBI:17312
C02571,CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C,204.1236,C9H18NO4,439756,CHEBI:15960
C02588,CCCCCCCCCCCCCCCC(=O)OC/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(CCCC1(C)C)C,524.4593,C36H60O2,5280531,CHEBI:17616
C02592,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C,483.3018,C26H45NO5S,439763,CHEBI:36259
C02593,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,977.3136,C35H62N7O17P3S,11966124,CHEBI:15532
C02642,C(CNC(=O)N)C(=O)O,132.0535,C4H8N2O3,111,CHEBI:18261
C02656,C(CCC(=O)O)CCC(=O)O,160.0736,C7H12O4,385,CHEBI:30531
C02678,C(CCCCCC(=O)O)CCCCC(=O)O,230.1518,C12H22O4,12736,CHEBI:4676
C02679,CCCCCCCCCCCC(=O)O,200.1776,C12H24O2,3893,CHEBI:30805
C02710,CC(C)C[C@@H](C(=O)O)NC(=O)C,173.1052,C8H15NO3,70912,CHEBI:17786
C02712,CC(=O)N[C@@H](CCSC)C(=O)O,191.0616,C7H13NO3S,448580,CHEBI:21557
C02714,CC(=O)NCCCCN,130.1106,C6H14N2O,122356,CHEBI:17768
C02728,CNCCCC[C@@H](C(=O)O)N,160.1212,C7H16N2O2,164795,CHEBI:17604
C02735,C1=CC=C(C=C1)C(CN)O,137.0841,C8H11NO,1000,CHEBI:16343
C02794,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N,224.0797,C10H12N2O4,25244175,CHEBI:1547
C02835,C1=C(NC=N1)CC(=O)O,126.0429,C5H6N2O2,28305488,CHEBI:16974
C02846,CN(C)C1=CC=CC=C1,121.0891,C8H11N,949,CHEBI:16269
C02918,C[N+]1=CC=CC(=C1)C(=O)N,137.0715,C7H9N2O,457,CHEBI:16797
C02939,CC(C)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,851.1727,C26H44N7O17P3S,165435,CHEBI:15487
C02953,C[C@@H]([C@@H](C1=NC2=C(NC1)NC(=NC2=O)N)O)O,239.1018,C9H13N5O3,119055,CHEBI:43029
C02983,CN[C@@H](CC1=CNC2=CC=CC=C21)C(=O)O,218.1055,C12H14N2O2,160511,CHEBI:15334
C02985,C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)OP(=O)(O)O)O)O)O,244.0348,C6H13O8P,65369,CHEBI:12387
C02990,CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,399.3349,C23H45NO4,11953816,CHEBI:17490
C02993,C1=CC(=CC=C1C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)N)O,337.175,C15H23N5O4,123804,CHEBI:17537
C03079,C([C@@H](C(=O)O)N)C(C(=O)O)O,163.0481,C5H9NO5,439902,CHEBI:32811
C03088,C1=C(C(=O)NC(=O)N1)CO,142.0378,C5H6N2O3,78168,CHEBI:16964
C03114,CC1=CC2=C(C=C1C)N=CN2,146.0844,C9H10N2,675,CHEBI:15890
C03139,C([C@@H](C(=O)O)N=C(N)N)C(=O)O,175.0593,C5H9N3O4,439918,CHEBI:17072
C03145,CSCC[C@@H](C(=O)O)NC=O,177.046,C6H11NO3S,439750,CHEBI:16552
C03196,C(CC(=O)O)[C@@H](C(=O)O)O,148.0372,C5H8O5,439939,CHEBI:32797
C03205,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C,330.2195,C21H30O3,6166,CHEBI:16973
C03224,C1=C(C=C(C(=C1Br)O)Br)C[C@@H](C(=O)O)N,336.8949,C9H9Br2NO3,67532,CHEBI:28335
C03227,C1=CC(=C(C(=C1)O)N)C(=O)C[C@@H](C(=O)O)N,224.0797,C10H12N2O4,11811,CHEBI:17380
C03267,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)OP(=O)(O)O)O)O)O,260.0297,C6H13O9P,193537,CHEBI:12350
C03339,C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O,265.9593,C3H8O10P2,61,CHEBI:28907
C03406,C(C[C@@H](C(=O)O)N)CN=C(N)N[C@@H](CC(=O)O)C(=O)O,290.1226,C10H18N4O6,16950,NA
C03410,C1[C@@H]([C@H]([C@@H](OC1(C(=O)O)O)[C@@H]([C@@H](CO)O)O)NC(=O)CO)O,325.1009,C11H19NO10,440001,NA
C03440,C1[C@H](CN[C@H]1C(=O)O)O,131.0582,C5H9NO3,440014,CHEBI:16231
C03451,C[C@H](C(=O)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)O,379.1049,C13H21N3O8S,440018,CHEBI:15694
C03465,CCC(C)C(=O)C(=O)O,130.063,C6H10O3,47,CHEBI:35932
C03479,C1[C@@H](N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,473.1659,C20H23N7O7,143,NA
C03519,CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O,207.0895,C11H13NO3,74839,CHEBI:16259
C03557,C(CP(=O)(O)O)N,125.0242,C2H8NO3P,339,CHEBI:15573
C03561,C[C@H](CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)O,853.152,C25H42N7O18P3S,11966146,CHEBI:15452
C03582,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,228.0786,C14H12O3,445154,CHEBI:27881
C03626,CN(C)C(=NCCC[C@@H](C(=O)O)N)N,202.143,C8H18N4O2,123831,CHEBI:17929
C03663,CC(=O)C1=C(C=C(C=C1)O)O,152.0473,C8H8O3,6990,CHEBI:18414
C03672,C1=CC(=CC=C1CC(C(=O)O)O)O,182.0579,C9H10O4,9378,CHEBI:17385
C03722,C1=CC(=C(N=C1)C(=O)O)C(=O)O,167.0219,C7H5NO4,1066,CHEBI:16675
C03727,C([C@@H](C(=O)O)N)SCC(=O)O,179.0252,C5H9NO4S,193653,CHEBI:16163
C03758,C1=CC(=C(C=C1CCN)O)O,153.079,C8H11NO2,681,CHEBI:18243
C03761,CC(CC(=O)O)(CC(=O)O)O,162.0528,C6H10O5,1662,CHEBI:16831
C03793,C[N+](C)(C)CCCC[C@@H](C(=O)[O-])N,188.1525,C9H20N2O2,440120,NA
C03794,C1=NC2=C(C(=N1)N[C@@H](CC(=O)O)C(=O)O)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,463.074,C14H18N5O11P,447145,NA
C03884,CN=C(N)NCCC[C@@H](C(=O)O)N,188.1273,C7H16N4O2,132862,CHEBI:28229
C03917,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C,290.2246,C19H30O2,10635,CHEBI:16330
C04051,C1=NC(=C(N1)C(=O)N)N,126.0542,C4H6N4O,9679,CHEBI:2030
C04148,C1=CC=C(C=C1)CC(=O)N[C@@H](CCC(=O)N)C(=O)O,264.111,C13H16N2O4,92258,CHEBI:17884
C04256,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1OP(=O)(O)O)CO)O)O,301.0563,C8H16NO9P,440272,CHEBI:7125
C04411,CC(C)[C@@H]([C@H](C(=O)O)O)C(=O)O,176.0685,C7H12O5,5462261,NA
C04483,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,392.2927,C24H40O4,222528,CHEBI:28834
C04548,CNCC(C1=CC=C(C=C1)O)O,167.0946,C9H13NO2,7172,CHEBI:29081
C04677,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)N)C(=O)N,338.0628,C9H15N4O8P,65110,CHEBI:18406
C04741,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,354.2406,C20H34O5,5280723,CHEBI:15544
C04874,C1C(=NC2=C(N1)NC(=NC2=O)N)[C@@H]([C@@H](CO)O)O,255.0968,C9H13N5O4,65074,CHEBI:17001
C05028,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,298.1933,C20H26O2,6230,CHEBI:7627
C05079,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,232.0848,C12H12N2O3,4421,CHEBI:100147
C05122,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3C2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,515.2917,C26H45NO7S,53297338,NA
C05127,CN1C=C(N=C1)CCN,125.0953,C6H11N3,3614,CHEBI:29009
C05145,CC(CN)C(=O)O,103.0633,C4H9NO2,25201103,CHEBI:27389
C05274,CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,921.251,C31H54N7O17P3S,164800,CHEBI:28493
C05282,C(CC(=O)N[C@@H](CCC(=O)O)C(=O)O)[C@@H](C(=O)O)N,276.0958,C10H16N2O7,92865,CHEBI:73705
C05285,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CCC4=O)C,300.1725,C19H24O3,223997,CHEBI:2495
C05330,C(CS)C(C(=O)O)N,135.0354,C4H9NO2S,49791978,CHEBI:17230
C05332,C1=CC=C(C=C1)CCN,121.0891,C8H11N,1001,CHEBI:18397
C05345,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O,260.0297,C6H13O9P,440641,CHEBI:16084
C05376,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,446.1213,C22H22O10,5280781,CHEBI:28751
C05377,CC1=CC(=O)C2=CC=CC=C2C1=O,172.0524,C11H8O2,4055,CHEBI:28869
C05380,C1=CC(=CN=C1)C(=O)NCC(=O)O,180.0535,C8H8N2O3,68499,CHEBI:7563
C05402,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O,342.1162,C12H22O11,440658,CHEBI:28053
C05422,C([C@@H]([C@@H]1C(=O)C(=O)C(=O)O1)O)O,174.0164,C6H6O6,440667,CHEBI:27956
C05441,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,396.3392,C28H44O,5280793,CHEBI:28934
C05443,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,384.3392,C27H44O,5280795,CHEBI:28940
C05463,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3C2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,499.2968,C26H45NO6S,440687,NA
C05464,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,449.3141,C26H43NO5,3035026,CHEBI:27471
C05465,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,499.2968,C26H45NO6S,387316,CHEBI:16525
C05466,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,449.3141,C26H43NO5,12544,CHEBI:36274
C05476,C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O)O,350.2457,C21H34O4,65553,CHEBI:9481
C05485,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CC=C4[C@@]3(CCC(C4)O)C,332.2351,C21H32O3,150891,NA
C05488,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,346.2144,C21H30O4,440707,NA
C05498,CC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C,330.2195,C21H30O3,101788,CHEBI:28247
C05502,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)[C@@H](CCC(C)C)O,402.3498,C27H46O2,167685,CHEBI:67237
C05504,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)CCC5=C3C=CC(=C5)O,464.2046,C24H32O9,122281,CHEBI:766
C05512,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)CO)O,252.0859,C10H12N4O4,65058,CHEBI:28997
C05552,C1C2C([C@@H](S1)CCCCC(=O)NCCCC[C@@H](C(=O)O)N)NC(=O)N2,372.1831,C16H28N4O4S,440721,NA
C05570,C[N+](C)(C)[C@@H](CC1=CNC(=S)N1)C(=O)O,230.0963,C9H16N3O2S,3037043,NA
C05582,COC1=C(C=CC(=C1)CC(=O)O)O,182.0579,C9H10O4,1738,CHEBI:545959
C05585,C1=CC(=C(C=C1O)C=O)O,138.0317,C7H6O3,70949,CHEBI:28508
C05587,COC1=C(C=CC(=C1)CCN)O,167.0946,C9H13NO2,1669,CHEBI:1582
C05589,COC1=C(C=CC(=C1)[C@H](CN)O)O,183.0895,C9H13NO3,688100,CHEBI:6277
C05593,C1=CC(=CC(=C1)O)CC(=O)O,152.0473,C8H8O3,12122,CHEBI:17445
C05594,COC1=C(C=CC(=C1)C(CO)O)O,184.0736,C9H12O4,10805,CHEBI:1576
C05623,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,464.0955,C21H20O12,5280804,CHEBI:68352
C05625,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,610.1534,C27H30O16,5280805,CHEBI:28527
C05629,C1=CC=C(C=C1)CCC(=O)O,150.0681,C9H10O2,107,NA
C05635,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,191.0582,C10H9NO3,1826,CHEBI:27823
C05640,C1=CC(=C2C(=C1)OC3=CC(=O)C(=C(C3=N2)C(=O)O)N)C(=O)O,300.0382,C14H8N2O6,114918,CHEBI:3715
C05643,CC(=O)NCCC1=CNC2=CC(=C(C=C21)OC)O,248.1161,C13H16N2O3,1864,CHEBI:2198
C05653,C1=CC=C(C(=C1)C(=O)O)NC=O,165.0426,C8H7NO3,101399,CHEBI:36575
C05659,COC1=CC2=C(C=C1)NC=C2CCN,190.1106,C11H14N2O,1833,CHEBI:2089
C05660,COC1=CC2=C(C=C1)NC=C2CC(=O)O,205.0739,C11H11NO3,18986,NA
C05672,C(C(C(=O)O)N)P(=O)(O)O,169.014,C3H8NO5P,3857,NA
C05824,C([C@@H](C(=O)O)N)SS(=O)(=O)O,200.9766,C3H7NO5S2,115015,CHEBI:27891
C05842,CN1C=C(C=CC1=O)C(=O)N,152.0586,C7H8N2O2,69698,CHEBI:27410
C05851,C1=CC=C2C(=C1)C=CC(=O)O2,146.0368,C9H6O2,323,CHEBI:28794
C05852,C1=CC=C(C(=C1)CC(=O)O)O,152.0473,C8H8O3,11970,CHEBI:28478
C05903,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,286.0477,C15H10O6,5280863,CHEBI:28499
C05926,C1=C(N=C2C(=N1)NC(=NC2=O)N)[C@@H]([C@@H](CO)O)O,253.0811,C9H11N5O4,448839,NA
C05933,C(C[C@@H](C(=O)O)N)CN=C(N)NO,190.1066,C6H14N4O3,123895,CHEBI:60111
C05942,C1=CNC(=C1)C(=O)O,111.032,C5H5NO2,12473,CHEBI:36751
C05944,CC(C)(CO)[C@H](C(=O)NCCCO)O,205.1314,C9H19NO4,131204,CHEBI:27373
C05984,CC[C@@H](C(=O)O)O,104.0473,C4H8O3,440864,CHEBI:50613
C06104,C(CCC(=O)O)CC(=O)O,146.0579,C6H10O4,196,CHEBI:30832
C06144,C#CCC(=O)O,84.0211,C4H4O2,137547,CHEBI:1461
C06156,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)N)O)O)O,259.0457,C6H14NO8P,188960,CHEBI:27625
C06180,C1CCNC(C1)C2=CN=CC=C2,162.1157,C10H14N2,2181,CHEBI:28986
C06186,C1=CC(=CC=C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,272.0896,C12H16O7,440936,NA
C06199,CN(C)CCC1=CC=C(C=C1)O,165.1154,C10H15NO,68313,CHEBI:5764
C06213,CNCCC1=CNC2=CC=CC=C21,174.1157,C11H14N2,6088,CHEBI:28136
C06313,CC(C(C1=CN=C2C(=N1)C(=O)N=C(N2)N)O)O,237.0862,C9H11N5O3,2380,CHEBI:15373
C06423,CCCCCCCC(=O)O,144.115,C8H16O2,379,CHEBI:28837
C06424,CCCCCCCCCCCCCC(=O)O,228.2089,C14H28O2,11005,CHEBI:28875
C06426,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,278.2246,C18H30O2,5280933,CHEBI:28661
C06427,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,278.2246,C18H30O2,5280934,CHEBI:27432
C06428,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,302.2246,C20H30O2,446284,CHEBI:28364
C06429,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,328.2402,C22H32O2,445580,CHEBI:28125
C06501,C1=CC(=CC=C1C[C@@H](C(=O)O)N)OP(=O)(O)O,261.0402,C9H12NO6P,30819,CHEBI:37788
C06502,C1=NC(=C(C(=N1)N)NC=O)N,153.0651,C5H7N5O,114926,CHEBI:27983
C06526,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3CC4CCN3C[C@@H]4C=C)O,324.1838,C20H24N2O2,8549,NA
C06533,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,339.1471,C20H21NO4,4680,CHEBI:28241
C06538,CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC,212.095,C13H12N2O,5280953,CHEBI:28121
C06562,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,290.079,C15H14O6,9064,CHEBI:15600
