kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2
C05441,C00410,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,396.3392,314.2246,C28H44O,C21H30O2
C00489,C00410,C(CC(=O)O)CC(=O)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,132.0423,314.2246,C5H8O4,C21H30O2
C02714,C00410,CC(=O)NCCCCN,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,130.1106,314.2246,C6H14N2O,C21H30O2
C05852,C00410,C1=CC=C(C(=C1)CC(=O)O)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,152.0473,314.2246,C8H8O3,C21H30O2
C00112,C00410,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,403.0182,314.2246,C9H15N3O11P2,C21H30O2
C07658,C03205,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C,250.0524,330.2195,C10H10N4O2S,C21H30O3
C00978,C05498,CC(=O)NCCC1=CNC2=C1C=C(C=C2)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C,218.1055,330.2195,C12H14N2O2,C21H30O3
C03917,C05498,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C,CC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C,290.2246,330.2195,C19H30O2,C21H30O3
C00440,C03205,CN1[C@H](CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C,459.1866,330.2195,C20H25N7O6,C21H30O3
C14487,C01176,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C#C)O)C,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,312.2089,330.2195,C21H28O2,C21H30O3
C14487,C05498,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C#C)O)C,CC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C,312.2089,330.2195,C21H28O2,C21H30O3
C00010,C05498,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C,767.1152,330.2195,C21H36N7O16P3S,C21H30O3
C09731,C03205,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C,458.0849,330.2195,C22H18O11,C21H30O3
C16195,C05498,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C,446.1213,330.2195,C22H22O10,C21H30O3
C05441,C05498,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,CC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C,396.3392,330.2195,C28H44O,C21H30O3
C00813,C05498,C1C(=O)NC(=O)NC1=O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C,128.0222,330.2195,C4H4N2O3,C21H30O3
C00466,C03205,CC(C(=O)C)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C,88.0524,330.2195,C4H8O2,C21H30O3
C03196,C05498,C(CC(=O)O)[C@@H](C(=O)O)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C,148.0372,330.2195,C5H8O5,C21H30O3
C01507,C01176,C([C@@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,182.079,330.2195,C6H14O6,C21H30O3
C02656,C05498,C(CCC(=O)O)CCC(=O)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C,160.0736,330.2195,C7H12O4,C21H30O3
C01996,C05498,CC(=O)OCC[N+](C)(C)C,CC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C,146.1181,330.2195,C7H16NO2,C21H30O3
C00250,C05498,CC1=NC=C(C(=C1O)C=O)CO,CC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C,167.0582,330.2195,C8H9NO3,C21H30O3
C04677,C05498,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)N)C(=O)N,CC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C,338.0628,330.2195,C9H15N4O8P,C21H30O3
C06563,C02140,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,270.0528,346.2144,C15H10O5,C21H30O4
C07042,C05488,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)CC4,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,285.1365,346.2144,C17H19NO3,C21H30O4
C00083,C02140,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,853.1156,346.2144,C24H38N7O19P3S,C21H30O4
C09789,C05488,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,580.1792,346.2144,C27H32O14,C21H30O4
C00741,C02140,CC(=O)C(=O)C,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,86.0368,346.2144,C4H6O2,C21H30O4
C03196,C02140,C(CC(=O)O)[C@@H](C(=O)O)O,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,148.0372,346.2144,C5H8O5,C21H30O4
C06809,C05488,CC(=O)N[C@@H](CS)C(=O)O,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,163.0303,346.2144,C5H9NO3S,C21H30O4
C05127,C02140,CN1C=C(N=C1)CCN,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,125.0953,346.2144,C6H11N3,C21H30O4
C02378,C02140,C(CCC(=O)O)CCN,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,131.0946,346.2144,C6H13NO2,C21H30O4
C16360,C05488,CN1C2=C(NC1=O)N(C(=O)NC2=O)C,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,196.0596,346.2144,C7H8N4O3,C21H30O4
C06949,C02140,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,229.9917,346.2144,C8H7ClN2O2S,C21H30O4
C00054,C00735,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,427.0294,362.2093,C10H15N5O10P2,C21H30O5
C00762,C00735,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,360.1937,362.2093,C21H28O5,C21H30O5
C00153,C00735,C1=CC(=CN=C1)C(=O)N,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,122.048,362.2093,C6H6N2O,C21H30O5
C02155,C00735,CC(C)C[C@@H](C(=O)O)NC(=O)CN,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,188.1161,362.2093,C8H16N2O3,C21H30O5
C07819,C01953,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,254.1015,316.2402,C10H14N4O4,C21H32O2
