kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2
C01494,C05619,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,COC1=CC(=CC(=C1O)O)/C=C/C(=O)O,194.0579,210.0528,C10H10O4,C10H10O5
C00482,C05619,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)O,COC1=CC(=CC(=C1O)O)/C=C/C(=O)O,224.0685,210.0528,C11H12O5,C10H10O5
C00251,C00254,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,C1=CC(C=CC1O)(CC(=O)C(=O)O)C(=O)O,226.0477,226.0477,C10H10O6,C10H10O6
C00251,C00885,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,C=C(C(=O)O)O[C@H]1C=CC=C([C@@H]1O)C(=O)O,226.0477,226.0477,C10H10O6,C10H10O6
C00036,C00254,C(C(=O)C(=O)O)C(=O)O,C1=CC(C=CC1O)(CC(=O)C(=O)O)C(=O)O,132.0059,226.0477,C4H4O5,C10H10O6
C00026,C00254,C(CC(=O)O)C(=O)C(=O)O,C1=CC(C=CC1O)(CC(=O)C(=O)O)C(=O)O,146.0215,226.0477,C5H6O5,C10H10O6
C00025,C00251,C(CC(=O)O)[C@@H](C(=O)O)N,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,147.0532,226.0477,C5H9NO4,C10H10O6
C00156,C00251,C1=CC(=CC=C1C(=O)O)O,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,138.0317,226.0477,C7H6O3,C10H10O6
C00805,C00885,C1=CC=C(C(=C1)C(=O)O)O,C=C(C(=O)O)O[C@H]1C=CC=C([C@@H]1O)C(=O)O,138.0317,226.0477,C7H6O3,C10H10O6
C00108,C00251,C1=CC=C(C(=C1)C(=O)O)N,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,137.0477,226.0477,C7H7NO2,C10H10O6
C00166,C00254,C1=CC=C(C=C1)CC(=O)C(=O)O,C1=CC(C=CC1O)(CC(=O)C(=O)O)C(=O)O,164.0473,226.0477,C9H8O3,C10H10O6
C00212,C11500,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)C=O)O)O,267.0968,265.0811,C10H13N5O4,C10H11N5O4
C11500,C11501,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)C=O)O)O,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)C(=O)O)O)O,265.0811,281.076,C10H11N5O4,C10H11N5O5
C00212,C11501,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)C(=O)O)O)O,267.0968,281.076,C10H13N5O4,C10H11N5O5
C00637,C00955,C1=CC=C2C(=C1)C(=CN2)CC=O,C1=CC=C2C(=C1)C(=CN2)CCO,159.0684,161.0841,C10H9NO,C10H11NO
C16587,C16595,C1=CC=C(C=C1)C(COC(=O)N)C=O,C1C(C(NC(=O)O1)O)C2=CC=CC=C2,193.0739,193.0739,C10H11NO3,C10H11NO3
C16586,C16587,C1=CC=C(C=C1)C(CO)COC(=O)N,C1=CC=C(C=C1)C(COC(=O)N)C=O,195.0895,193.0739,C10H13NO3,C10H11NO3
C06725,C06726,CC1=CC2=C(C=CC(=C2O)O)NC1=O,CC1=CC2=C(C=CC(C2O)O)NC1=O,191.0582,193.0739,C10H9NO3,C10H11NO3
C00582,C05598,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC4=CC=CC=C4)O,C1=CC=C(C=C1)CC(=O)NCC(=O)O,885.1571,193.0739,C29H42N7O17P3S,C10H11NO3
C16587,C16591,C1=CC=C(C=C1)C(COC(=O)N)C=O,C1=CC=C(C=C1)C(COC(=O)N)C(=O)O,193.0739,209.0688,C10H11NO3,C10H11NO4
C05338,C05596,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC4=CC=C(C=C4)O)O,C1=CC(=CC=C1CC(=O)NCC(=O)O)O,901.152,209.0688,C29H42N7O18P3S,C10H11NO4
C00556,C03710,C1=CC=C(C=C1)CO,C1=CC=C(C=C1)COC(=O)NCC(=O)O,108.0575,209.0688,C7H8O,C10H11NO4
